id,VendorName,NonProfitPrivate,WebsiteAddress,Description,Category,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
181,St Hilda’s Community Services (Friends Plus),Non-Profit ,http://sthildascsc.org.sg/?page_id=347,"Friends Plus caters to Singapore Citizens or Permanent Residents aged 55 years and above who are ambulant and semi-ambulant seniors, seniors who are independent and can largely manage the activities of daily living whose families need help in looking after them during the day while they are at work. The organisation offer nutritious and delicious meals; activities that engage the mind and exercise the faculties; learning activities including art and music appreciation, language classes; group games; quiet corners for reading and TV watching for those who want just to have some personal space and outings.",Recreational and Leisure,"Line Dance, Garden Club, Women's Fellowship (cooking, Baking)",Weekly,1 to 2 hours,"•Singapore Citizens or Permanent Residents aged 55 years and above
•Ambulant and semi-ambulant seniors
•Seniors who are independent and can largely manage the activities of daily living
•Seniors whose families need help in looking after them during the day while they are at work.",$0 ,Friends @St Hilda's Link,Blk 10 Jalan Batu,#01-06,Singapore 431010,"Monday to Friday 7.30am – 6.00pm
Closed on Saturdays, Sundays and Public Holidays",South East,friendsplus@sthildascsc.org.sg, 6345 0054
182,St Hilda’s Community Services (Friends Special),Non-Profit ,http://sthildascsc.org.sg/?page_id=347,"We provide comprehensive rehabilitative care for patients who are experiencing a wide range of disabilities including those brought on by a stroke, an accident, joint replacement, lower limb amputation or fractures, or simply by the process of ageing.",Volunteering Opportunities,"Administrative support, Befriending services",Depends on Programmes,Depends on Programmes,NA,$0 ,Friends Special,Blk 11 Jalan Batu,#01-152, Singapore 431011,"Monday to Friday 7.30am – 6.00pm
Closed on Saturdays, Sundays and Public Holidays",South East,friendsspecial@sthildascsc.org.sg,6348 9668
183,Thong Kheng Welfare Services Society (Queenstown Centre),Non-Profit ,http://www.thongkheng.org.sg/,"The Home is operated by Thong Kheng Welfare Services Society, which is the welfare arm of Thong Kheng Charitable Institution. Our sister charities are two Thong Kheng Seniors Activity Centres at Queenstown and Tanglin-Cairnhill, and Thong Kheng Student Care Centre at the Tampines.",Volunteering Opportunities,"Exercises, art and craft sessions, games, singing sessions, excursions",Depends,Depends,NA,$0 ,Thong Kheng Welfare Services Society (Queenstown Centre),Blk 3 Jalan Bukit Merah,#01-5070,Singapore 150003,Not Provided,South West,pcf@thongkheng.org.sg,6278 3966
184,Thong Kheng Welfare Services Society (Tanglin-Cairnhill Centre),Non-Profit ,http://www.thongkheng.org.sg/,"The Home is operated by Thong Kheng Welfare Services Society, which is the welfare arm of Thong Kheng Charitable Institution. Our sister charities are two Thong Kheng Seniors Activity Centres at Queenstown and Tanglin-Cairnhill, and Thong Kheng Student Care Centre at the Tampines.",Volunteering Opportunities,"Exercises, art and craft sessions, games, singing sessions, excursions",Depends,Depends,NA,$0 ,Thong Kheng Welfare Services Society (Tanglin-Cairnhill Centre),Blk 123 Bukit Merah View,#01-282,Singapore 151123,Not Provided,South West,tksactc@singnet.com.sg,6278 2533
185,Teen Challenge Singapore,Non-Profit , http://www.teenchallenge.org.sg,"Teen Challenge was founded in New York City in 1958 by a country preacher named David Wilkerson. After he read about a gang murder trial in New York, he began asking “Why isn’t someone helping this type of youth?” He started praying. Teen Challenge was born in these long sessions of prayer.

He went to New York City to plead the case of the gang boys before the judge, but was thrown out of the court. This experience opened the door of the gangs to him, and he became their friend, the “gang preacher.” In a crusade in St Nicholas Area, Nicky Cruz and several other Mau Mau gang members were saved. Now the birth pangs of prayer had produced results on the streets of the city.",Volunteering Opportunities,"Befriender, Support Group Facilitator ",Depends,Depends,6 months commitment,$0 ,Teen Challenge Singapore,"735 Old Choa Chu Kang Road,",,Singapore 699798,"Operating Hours
Tuesday 2.30pm – 6.00pm
Wednesday 2.30pm – 6.00pm
Friday 9.00am – 6.00pm",South West," info@teenchallenge.org.sg      (Headquarters) 
darecentre@teenchallenge.org.sg (DARE Centre) 
chuan"," 6793 7933 
"
186,The Eurasian Association Singapore,Non-Profit , http://www.eurasians.org,"For the Association, 1989 was known as the year of the Eurasian Awakening, when a younger group of Eurasians decided to take the lead in uplifting the community. This was a turning point for the Association - membership increased, and new programmes and activities were introduced. Many were driven to rekindle a sense of belonging to the community, especially amongst the younger generation of Eurasians.",Volunteering Opportunities,"Outings, singing class, interactive games",Depends,Depends,NA,$0 ,The Eurasian Association Singapore,"139 Ceylon Road,",,"Singapore, 429744",Not Provided,South East, ram@eurasians.org,6447 1578 
187,The Helping Hand,Non-Profit , http://www.thehelpinghand.org.sg,"The Helping Hand was founded in 1987 as a Christian half-way house for the rehabilitation of ex-drug addicts, by Mr Robert Yeo, himself an ex-addict.

As of 2006, we have opened our doors to all ex-offenders. The Helping Hand is a Volunteer Welfare Organization (VWO) under the Ministry of Community, Youth, and Sports (MCYS) with Institution of Public Character (IPC) status.",Volunteering Opportunities,"Work Therapy
Social Therapy
Physical Therapy",Depends on Programmes,Depends on programmes,NA,$0 ,The Helping Hand,"819 Upper Serangoon Road,",,Singapore 534678,"Store hrs: Mon- Sat 10am - 8pm, Sun closed",North East,adminsupport@thehelphand.org,6283 2204 
188,The New Charis Mission,Non-Profit , http://www.thenewcharismission.org.sg/,"The New Charis Mission (hereafter known as “TNCM”) is a non-profit charitable organization officially registered in August 2006 with the Registry of Societies (ROS) and Commissioner of Charities in February 2007. TNCM is a full member of National Council of Social Service (NCSS) since January 2008 and is also an approved Institution of a Public Character (IPC). Although TNCM was set up in 2006, the staff members have served in rehabilitation work since 1995. TNCM operates an array of programmes/services with a motto “Building the Vision, Rebuilding Lives”. ",Volunteering Opportunities,"Assisting in talks, elderly works(befriending, organizing trips etc.), mentoring of student",Anytime during operating hours,Anytime,NA,$0 ,The New Charis Mission,1 Chestnut Avenue,,Singapore 679487,Not Provided,North West, admin@tncm.org.sg,6483 3707 
189,TP Healthcare Ltd,Non-Profit , http://www.truepassion.org.sg,TP Healthcare (formerly known as Toa Payoh Senior Citizens' Health Care Centre Ltd) is a not-for-profit charitable organization. We are a member of the National Council of Social Service (NCSS) and the Institute of Public Character (IPC). All donations to TP Healthcare are tax-exempted with 2.5 times tax deduction. We are supported mainly by public donations through fund raising efforts to achieve its mission of providing care to the sick.,Volunteering Opportunities,"Serving food, assist in walking or pushing wheelchairs, befriending and conducting games.",Depends on Programmes,Depends on programmes,must commit al least 4 hours ,$0 ,TP Healthcare Ltd,249 Kim Keat Link,#01-83,Singapore 310249,8.30am to 6pm.,Central," admin@truepassion.org.sg
innovate@truepassion.org.sg",6259 0669 
190,Inspire Mum & Baby,Private,http://inspiremumbaby.com/,"InspireMum is a concept of services fully dedicated to the mum, before, during and after pregnancy. We understand the many challenges and changes a woman has to undergo during this joyous period and we would hope that through this range of services, mothers will be able to have a smoother and enjoyable experience.",Recreational and Leisure,Yoga Exercise,Once a week,1 hour ,NA,<$500,Inspire Mum & Baby,87 Marine Parade Central,#02-500 B/C ,Singapore 440087,Not Provided,South East,info@inspiremumbaby.com,"6348 7881 
Mobile: 9234 1866 "
