id,VendorName,NonProfitPrivate,WebsiteAddress,Description,Category,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
1,Asian Women's Welfare Association (AWWA) Elderly Services,Non-Profit ,http://www.awwa.org.sg/,"The centre provides recreational and social activities for senior citizens who live around Block 123, Ang Mo Kio Avenue 6.The operating costs of the Community Home and READYCARE Centre are funded by grants from MCYS, MOH and NCSS. Our Seniors Activity Centre is funded by NCSS, Tote Board and donations. We also seek donations for other non-funded expenses such as vehicles for transporting our elderly clients and subsidies to help our lower income clients. Donations to AWWA Elderly Services are eligible for tax exemption.",Volunteering Opportunities,"Assisting in Programmes and activities for the elderly (Art and Craft, exercise programmes etc)",Depends on programmes,Depends on programmes,NA,$0 ,"AWWA Senior Activity Centre, Community Home and  READYCARE Centre",Blk 123 Ang Mo Kio Avenue 6,,Singapore 560123,"Monday to Friday: 8:30 am - 5:30 pm
Closed on Saturdays, Sundays, Public Holidays and AWWA designated days.
",Central,lisa_goh@awwa.org.sg,6511 5395
2,Asian Women's Welfare Association (AWWA) Family Services,Non-Profit ,http://www.awwa.org.sg/,"The centre provides recreational and social activities for senior citizens who live around Block 123, Ang Mo Kio Avenue 6.The operating costs of the Community Home and READYCARE Centre are funded by grants from MCYS, MOH and NCSS. Our Seniors Activity Centre is funded by NCSS, Tote Board and donations. We also seek donations for other non-funded expenses such as vehicles for transporting our elderly clients and subsidies to help our lower income clients. Donations to AWWA Elderly Services are eligible for tax exemption.",Volunteering Opportunities,Assist in activities with youth and family (indoor and outdoor games and musical interests),Depends on programmes,Depends on programmes,NA,$0 ,AWWA Family Service Centre and EXCELerate Service,Blk 107 Towner Road,#01-356,Singapore 321107,"Monday to Friday: 8:30 am - 5:30 pm
Closed on Saturdays, Sundays, Public Holidays and AWWA designated days.
",Central,erni_nurilyana@awwa.org.sg,65115275
3,Care Community Services Society,Non-Profit ,http://www.carecom.org.sg/,"Care Elderly Services. Expand the world of the elderly, beyond the four walls of their homes by encouraging them to participate in social activities and interact with others. entre organizes meaningful activities to keep the elderly active and to empower them with a renewed sense of purpose. These elderly can become a channel of support for the needs of other elderly in the community.",Recreational and Leisure,"Facilitator for games, craftwork and cooking.",Daily,"Craftwork - 9.30 to 11pm
News reporting - 1 hour",Above 60,$0 ,Care Community Services Society,247 Paya Lebar Road,"#03-02 
Trinity@Paya Lebar",Singapore 409045,Monday to Saturday,South East,ccss@carecom.org.sg,6747 8782
4,Care Community Services Society,Non-Profit ,http://www.carecom.org.sg/,"Care Elderly Services. Expand the world of the elderly, beyond the four walls of their homes by encouraging them to participate in social activities and interact with others. entre organizes meaningful activities to keep the elderly active and to empower them with a renewed sense of purpose. These elderly can become a channel of support for the needs of other elderly in the community.",Volunteering Opportunities,Befriending (Seniors),Minimum once a week for 3 months,"2 shifts:
9am – 1pm
2pm – 5pm (home visits)
7:30pm – 9:30pm (Wednesday night home visits)",NA,$0 ,Care Community Services Society,247 Paya Lebar Road,"#03-02 
Trinity@Paya Lebar",Singapore 409045,Monday to Saturday,South East,ccss@carecom.org.sg,6747 8782
5,Care Corner Senior Activity Centre (TP5),Non-Profit ,http://www.carecorner.org.sg,"Care Corner elder care services aim to provide safe and caring environments for poor and vulnerable seniors, engage them through meaningful activities and support them with appropriate services.

Care Corner's four SACs [i.e. SAC(TP5), SAC(TP62B), SAC(TP149) and SAC(TP170)] function as community-based drop-in centres, offering a series of holistic eldercare programmes which are designed based on six dimensions of wellness, to keep the elderly physically, emotionally, socially, spiritually, vocational, and intellectually engaged.

",Volunteering Opportunities,Befriending and assisting in elderly activities,Daily,Depends,NA,$0 ,Care Corner Seniors Activity Centre (TP5),"Blk 5 Lor 7 Toa Payoh 
",#01-131,Singapore 310005,"Mon-Fri: 9.00am – 6.00pm
Sat: 9.00am – 1.00pm",Central,tp.fsc@carecorner.org.sg,6258 7922 
6,Care Corner Seniors Activity Centre (TP62B) ,Non-Profit ,http://www.carecorner.org.sg,"Care Corner elder care services aim to provide safe and caring environments for poor and vulnerable seniors, engage them through meaningful activities and support them with appropriate services.

Care Corner's four SACs [i.e. SAC(TP5), SAC(TP62B), SAC(TP149) and SAC(TP170)] function as community-based drop-in centres, offering a series of holistic eldercare programmes which are designed based on six dimensions of wellness, to keep the elderly physically, emotionally, socially, spiritually, vocational, and intellectually engaged.

",Volunteering Opportunities,Befriending and assisting in elderly activities,Daily,Depends,NA,$0 ,Care Corner Seniors Activity Centre (TP62B) ,"Blk 62B Lor 4 Toa Payoh
",#02-121,Singapore 312062 ,"Mon-Fri: 9.00am – 6.00pm
Sat: 9.00am – 1.00pm",Central,tp.sac62b@carecorner.org.sg,6258 0503 
7,Care Corner Seniors Activity Centre (TP149),Non-Profit ,http://www.carecorner.org.sg,"Care Corner elder care services aim to provide safe and caring environments for poor and vulnerable seniors, engage them through meaningful activities and support them with appropriate services.

Care Corner's four SACs [i.e. SAC(TP5), SAC(TP62B), SAC(TP149) and SAC(TP170)] function as community-based drop-in centres, offering a series of holistic eldercare programmes which are designed based on six dimensions of wellness, to keep the elderly physically, emotionally, socially, spiritually, vocational, and intellectually engaged.

",Volunteering Opportunities,Befriending and assisting in elderly activities,Daily,Depends,NA,$0 ,Care Corner Seniors Activity Centre (TP149),Blk 149 Lorong 1 Toa Payoh,#01-963,Singapore 310149,"Mon-Fri: 9.00am – 6.00pm 
Sat: 9.00am – 1.00pm",Central,tp.sac149@carecorner.org.sg,6258 3122 
8,Care Corner Seniors Activity Centre (TP170),Non-Profit ,http://www.carecorner.org.sg,"Care Corner elder care services aim to provide safe and caring environments for poor and vulnerable seniors, engage them through meaningful activities and support them with appropriate services.

Care Corner's four SACs [i.e. SAC(TP5), SAC(TP62B), SAC(TP149) and SAC(TP170)] function as community-based drop-in centres, offering a series of holistic eldercare programmes which are designed based on six dimensions of wellness, to keep the elderly physically, emotionally, socially, spiritually, vocational, and intellectually engaged.

",Volunteering Opportunities,Befriending and assisting in elderly activities,Daily,Depends,NA,$0 ,Care Corner Seniors Activity Centre (TP170),Blk 170 Lor 1 Toa Payoh,#01-1102 ,Singapore 310170,"Mon-Fri: 9.00am – 6.00pm 
Sat: 9.00am – 1.00pm",Central,tp.sac170@carecorner.org.sg,6352 7930
9,Care Corner Family Service Centre (Admiralty),Non-Profit ,http://www.carecorner.org.sg,"Care Corner Singapore Ltd was founded in a climate of changes in the early 1980s, as economic competition in the region intensified and the rift between the rich and the lower-income -- in particular the Chinese blue-collar workers, widened.

Rev Tan Tien Ser and a group of passionate individuals believed that these marginalised people with lower income and little opportunities for a formal education, could be helped to realise their potential and become more competent and fulfilled persons. Through a series of early outreach initiatives, Care Corner has evolved into an organisation offering a wide range of programmes and services delivered through 27 social service centres located island-wide.

In a bid to stay relevant to the needs of the community, Care Corner has continuously strived to offer new and innovative programmes to support the needy and less privileged. We are concerned to meet human needs as they are felt, enable people to face life's challenges and foster enjoyment of and reverence for life.

In the discharge of these roles our sole motivation is based on the unconditional love of God. In stating this, it is also to be noted that Care Corner is not a church nor a proselytizing agency. Our services are offered to all, without regard to race, language or religion. Each year more than 50,000 beneficiaries are served by our network of centres that support infants from as young as 2 months old, to seniors over 90 years of age. Care Corner’s infant, children, youth, special needs, adult, couple and elderly services reflect our holistic range of services to the community.",Volunteering Opportunities,"Ration packer and Distributor, Talk Facilitator",Weekly,Minimum 1 hour,Depends on Programmes,$0 ,Care Corner Family Service Centre (Admiralty),Blk 718 Woodlands Ave 6,#01-658,Singapore 730718 ,"Mon, Wed, Fri: 9 am to 6 pm 
Tues, Thurs: 9 am to 9 pm
Sat, Sun and Public Holidays: Closed",North West,am.fsc@carecorner.org.sg,6365 8751 
10,Care Corner Family Service Centre (Queenstown) ,Non-Profit ,http://www.carecorner.org.sg,"Care Corner Singapore Ltd was founded in a climate of changes in the early 1980s, as economic competition in the region intensified and the rift between the rich and the lower-income -- in particular the Chinese blue-collar workers, widened.

Rev Tan Tien Ser and a group of passionate individuals believed that these marginalised people with lower income and little opportunities for a formal education, could be helped to realise their potential and become more competent and fulfilled persons. Through a series of early outreach initiatives, Care Corner has evolved into an organisation offering a wide range of programmes and services delivered through 27 social service centres located island-wide.

In a bid to stay relevant to the needs of the community, Care Corner has continuously strived to offer new and innovative programmes to support the needy and less privileged. We are concerned to meet human needs as they are felt, enable people to face life's challenges and foster enjoyment of and reverence for life.

In the discharge of these roles our sole motivation is based on the unconditional love of God. In stating this, it is also to be noted that Care Corner is not a church nor a proselytizing agency. Our services are offered to all, without regard to race, language or religion. Each year more than 50,000 beneficiaries are served by our network of centres that support infants from as young as 2 months old, to seniors over 90 years of age. Care Corner’s infant, children, youth, special needs, adult, couple and elderly services reflect our holistic range of services to the community.",Volunteering Opportunities,"Assist in Children & Youth programmes, Administrative support",Weekly,Depends on Programmes,Volunteers at least 17 years old and above preferred; and requires a minimum of 6 months commitment.,$0 ,Care Corner Family Service Centre (Queenstown) ,Blk 88 Tanglin Halt Road ,#05-01,Singapore 141088,"Mon, Wed, Fri: 9 am to 6 pm 
Tues, Thurs: 9 am to 9 pm
Sat, Sun and Public Holidays: Closed",Central,qt.fsc@carecorner.org.sg,6476 1481 
