id,VendorName,NonProfitPrivate,WebsiteAddress,Description,Category,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
241,Tsao Foundation (Hua Mei Centre For Successful Aging),Non-Profit ,http://www.tsaofoundation.org,"HMCSA is an integrated collective of various community aged care service models that we have pioneered since 1993.

We practice person-centred, holistic healthcare with the aim to enable individuals to optimize their health and well-being across the life course, and to age at home and in the community.

We encourage self-care and self-mastery to promote wellbeing, providing necessary information and training at the clients’ pace. Clients of HMCSA can consult at more than one clinic or programme at the same time, or transfer from one to another as their needs change over time. Over the care continuum, we engage our clients in active health promotion and preventive healthcare through to disease management and end of life care.",Learning and Enrichment,,Depends,3hours minimum,NA, <$500 ,Tsao Foundation (Hua Mei Centre For Successful Aging),298 Tiong Bahru Road,#15-01/06 Central Plaza,Singapore 168730,"Mon to Fri: 8.30am-6.00pm
Closed on Saturday, Sunday
and public holidays.",Central,tsao1@tsaofoundation.org,6593 9500
242,Tsao Foundation (Hua Mei Centre For Successful Aging),Non-Profit ,http://www.tsaofoundation.org,"HMCSA is an integrated collective of various community aged care service models that we have pioneered since 1993.

We practice person-centred, holistic healthcare with the aim to enable individuals to optimize their health and well-being across the life course, and to age at home and in the community.

We encourage self-care and self-mastery to promote wellbeing, providing necessary information and training at the clients’ pace. Clients of HMCSA can consult at more than one clinic or programme at the same time, or transfer from one to another as their needs change over time. Over the care continuum, we engage our clients in active health promotion and preventive healthcare through to disease management and end of life care.",Volunteering Opportunities,Volunteer escort. Exercise buddies.,Depends,Depends,NA,$0 ,Tsao Foundation (Hua Mei Centre For Successful Aging),298 Tiong Bahru Road,#15-01/06 Central Plaza,Singapore 168730,"Mon to Fri: 8.30am-6.00pm
Closed on Saturday, Sunday
and public holidays.",Central,tsao1@tsaofoundation.org,6593 9500
243,Tsao Foundation(Hua Mei Training Academy),Non-Profit ,http://tsaofoundation.org/what-we-do/training-educations/professional-training,"The Hua Mei Training Academy (HMTA) is a dedicated provider of training in community-based eldercare, supporting the urgent need for capacity building in that service sector. We offer a diversified range of training programmes from higher certificate to professional diploma levels to equip and empower Health Care Attendants, Health Care Assistants, Home Care Helpers, Programme Executives, Programme Co-ordinators, Executives, Administrators and Managers for the eldercare sector.",Learning and Enrichment,Training programmes on community-based eldercare,Monday to friday,"The duration of the programme is 2.5 months on a full-time basis and
comprises two components:
Classroom Training ñ 19.5 days
Workplace Attachment ñ 29.5 days","Entry Requirements
§ Secondary 2 (with a pass in English) and above or
§ WSQ ESS Workplace Literacy and Numeracy Level 3 is
recommended.", <$750 ,Hua Mei Training Academy @ Tsao Foundation,298 Tiong Bahru Road,#15-01/06 Central Plaza,Singapore 168730,"Mon to Fri: 8.30am-6.00pm
Closed on Saturday, Sunday
and public holidays.",Central,hmta@tsaofoundation.org,6593 9547
244,Dover Park Hospice,Non-Profit ,http://www.doverpark.org.sg,"Dover Park Hospice was founded in 1992 as a secular, non-profit organisation to meet the growing need in Singapore for hospice care for terminally-ill patients. It is Singapore’s first purpose-built hospice, designed to provide a serene environment close to nature.",Volunteering Opportunities,"Assist in activities with seniors (Arts & Craft, Outings and Gardening)","Every Saturday art and craft,nursing depends on schedule 4 hr each time, gardening every Saturday","Saturday-2pm to 4pm art and craft,nursing depends on schedule 4 hr each time, gardening Saturday 10am to 12pm",Requires experience in some volunteerings area e.g. Nursing,$0 ,Dover Park Hospice,10 Jalan Tan Tock Seng,,Singapore 308436,Monday to Friday: 9am to 6pm,Central, volunteer@doverpark.org.sg,6500 7272
245,Econ (Health & Wellness Centre (Bishan Branch)),Private,http://www.econhealthcare.com/index.html,"Established in 1987, ECON has grown in strength and expanded our range of healthcare services over the years to meet the growing needs of our customers at the community level. As a result of our commitment to provide excellent service to the customers, we are now recognized as the leading healthcare provider in Singapore enjoying more than 30% of market share within the industry. Our proud achievements attest to our high standards of nursing care and quality service which we always deliver to our customers.",Personal Health Care Services,Providing counselling services for seniors and families in particular on Traditional Chinese Medicine (TCM).,$10 for 25-50 sessions,Half an hour,NA,<$100,Econ Health & Wellness Centre (Bishan Branch),"Blk 152B Bishan Street 11 
#01-271 Singapore 572152 ",#01-271 ,Singapore 572152 ,"Monday to Friday: 9am to 6pm
Saturday: 9am to 1pm",Central, ehwc@econhealthcare.com,Not Provided
246,Econ (Medicare Centre & Nursing Home (Choa Chu Kang Branch)),Private,http://www.econhealthcare.com/index.html,"Established in 1987, ECON has grown in strength and expanded our range of healthcare services over the years to meet the growing needs of our customers at the community level. As a result of our commitment to provide excellent service to the customers, we are now recognized as the leading healthcare provider in Singapore enjoying more than 30% of market share within the industry. Our proud achievements attest to our high standards of nursing care and quality service which we always deliver to our customers.",Personal Health Care Services,Providing counselling services for seniors and families in particular on Traditional Chinese Medicine (TCM).,$10 for 25-50 sessions,Half an hour,NA,<$100,Medicare Centre & Nursing Home (Choa Chu Kang Branch),"53 Choa Chu Kang Road, ",,Singapore 689385,"Monday to Friday: 9am to 6pm
Saturday: 9am to 1pm",South West,econ@econhealthcare.com ,6769 8878
247,Econ (Medicare Centre & Nursing Home (Upp East Coast Branch)),Private,http://www.econhealthcare.com/index.html,"Established in 1987, ECON has grown in strength and expanded our range of healthcare services over the years to meet the growing needs of our customers at the community level. As a result of our commitment to provide excellent service to the customers, we are now recognized as the leading healthcare provider in Singapore enjoying more than 30% of market share within the industry. Our proud achievements attest to our high standards of nursing care and quality service which we always deliver to our customers.",Personal Health Care Services,Providing counselling services for seniors and families in particular on Traditional Chinese Medicine (TCM).,$10 for 25-50 sessions,Half an hour,NA,<$100,Medicare Centre & Nursing Home (Upp East Coast Branch),452 Upper East Coast Road,,Singapore 466500,"Monday to Friday: 9am to 6pm
Saturday: 9am to 1pm",South East,econ@econhealthcare.com ,6445 8838 
248,Econ (Medicare Centre & Nursing Home (Braddell Branch)),Private,http://www.econhealthcare.com/index.html,"Established in 1987, ECON has grown in strength and expanded our range of healthcare services over the years to meet the growing needs of our customers at the community level. As a result of our commitment to provide excellent service to the customers, we are now recognized as the leading healthcare provider in Singapore enjoying more than 30% of market share within the industry. Our proud achievements attest to our high standards of nursing care and quality service which we always deliver to our customers.",Personal Health Care Services,Providing counselling services for seniors and families in particular on Traditional Chinese Medicine (TCM).,$10 for 25-50 sessions,Half an hour,NA,<$100,Medicare Centre & Nursing Home (Braddell Branch),58 Braddell Road ,,Singapore 359905,"Monday to Friday: 9am to 6pm
Saturday: 9am to 1pm",Central,econ@econhealthcare.com ,6487 3133
249,Econ (Medicare Centre & Nursing Home (Chai Chee Branch)),Private,http://www.econhealthcare.com/index.html,"Established in 1987, ECON has grown in strength and expanded our range of healthcare services over the years to meet the growing needs of our customers at the community level. As a result of our commitment to provide excellent service to the customers, we are now recognized as the leading healthcare provider in Singapore enjoying more than 30% of market share within the industry. Our proud achievements attest to our high standards of nursing care and quality service which we always deliver to our customers.",Personal Health Care Services,Providing counselling services for seniors and families in particular on Traditional Chinese Medicine (TCM).,$10 for 25-50 sessions,Half an hour,NA,<$100,Medicare Centre & Nursing Home (Chai Chee Branch),351 Chai Chee Street,#03-01 ,Singapore 468982,"Monday to Friday: 9am to 6pm
Saturday: 9am to 1pm",South East,econ@econhealthcare.com ,6441 6811 
250,Econ (Medicare Centre & Nursing Home (Buangkok Branch)),Private,http://www.econhealthcare.com/index.html,"Established in 1987, ECON has grown in strength and expanded our range of healthcare services over the years to meet the growing needs of our customers at the community level. As a result of our commitment to provide excellent service to the customers, we are now recognized as the leading healthcare provider in Singapore enjoying more than 30% of market share within the industry. Our proud achievements attest to our high standards of nursing care and quality service which we always deliver to our customers.",Personal Health Care Services,Providing counselling services for seniors and families in particular on Traditional Chinese Medicine (TCM).,$10 for 25-50 sessions,Half an hour,NA,<$100,Medicare Centre & Nursing Home (Buangkok Branch),"10 Buangkok View Block 5 
Basement, Level 1 & 2",,Singapore 539747,"Monday to Friday: 9am to 6pm
Saturday: 9am to 1pm",North East,econ@econhealthcare.com ,6385 6860
