id,VendorName,NonProfitPrivate,WebsiteAddress,Description,Category,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
301,Tai Chi SJY LLP,Private,http://taichi.sg/taichi/02_company/company.asp,"Tai Chi SJY LLP began operation only in January 2011. Simon and Jennifer (husband and wife) started the company which bears their initials SJY (Simon Jennifer Yuen), after retiring from their 30-years-old confectionery business. 

Simon and Jennifer has been teaching Tai Chi for Health Programs since 2008. Their goals was to introduce Tai Chi for Health Programs, created by their Tai Chi Master Dr. Paul Lam to many people especially seniors/retirees to take charge of their lives, to stay fit and active into old age. Dr. Lam’s Tai chi programs are safe, fun and easy to learn. The progressive teaching methods ensure many beginners are able to learn the set of Tai Chi movement within a short period of time. 
 Since it humble beginning, Tai Chi for Health programs are in many Community Club, RC, Senior Ageing Homes. 

Today, not only she teaches Tai Chi, but also conduct Tai Chi for Arthritis Workshop - a program to train safe and effective trainers, conduct public talk and tai chi demonstration, participate at C3A - Active Ageing Carnival and also conducts workshop to train Volunteer Trainers to serve in the Wellness Programs, reaching out to Seniors of many Community Home Care and Senior Centres, working with Health Promotion Board as Senior Health Ambassador Programme, by participating with their Active Ageing Activities. 

Tai Chi for Health Programs are supported by MCYS, C3A (Council of Third Age) and NAF (National Arthritis Foundation) ",Learning and Enrichment,"""Tai Chi for Health"" courses - Osteoporosis, Arthritis, Diabetes etc
Conducted at various places

Tai Chi for Arthritis Workshop - a program to train safe and effective trainers, conduct public talk and tai chi demonstration","Depends

Once a week",1 hour session,NA," <$100 (based off known courses listed in website under NTUC, NAF member) ",Tai Chi SJY LLP,83 Bishan Street 13,#06-299,Singapore 570183,Not Provided,Central,"taichisjy@gmail.com ; jennifer@taichi.sg 
simon@taichi.sg ","9666 3375 (Jennifer Chung)
9784 3982 (Simon Yuen)"
302,Passion Water Venture (Kallang),Private,http://www.water-venture.org.sg,"Water-Venture is an integral part of the PA that bonds people and bridges the communities through adventure and water sports; We provide the residents, particularly the youth, with opportunities to come together, interact and take part in activities.",Recreational and Leisure,"Kayaking
Windsurifng
Sailing
Dragon Boating
Abseiling
Power Boating 
Sea Rafting",Depends,Depends,Senior Citizens," <$500

(Most expansive - $295 for seniors) ",Passion Water Venture (Kallang),4876 Beach Road,,Singapore 199587,"Operating Hours: 09:30 - 18:00
Payment Hours: 09:30 - 17:00",Central,PA_WVKALLANG@pa.gov.sg,6296 6683 (Tel)
303,Passion Water Venture (Bedok Reservoir),Private,http://www.water-venture.org.sg,"Water-Venture is an integral part of the PA that bonds people and bridges the communities through adventure and water sports; We provide the residents, particularly the youth, with opportunities to come together, interact and take part in activities.",Recreational and Leisure,"Kayaking
Windsurifng
Sailing
Dragon Boating
Abseiling
Power Boating 
Sea Rafting",Depends,Depends,Senior Citizens," <$500

(Most expansive - $295 for seniors) ",Passion Water Venture (Bedok Reservoir), Bedok Reservoir Road,,Singapore 208581,"Operating Hours: 09:30 - 18:00
Payment Hours: 09:30 - 17:00",South East,PA_WVBEDOKRESERVOIR@pa.gov.sg,"
97101697 (Tel)
6348 1476 (Fax)"
304,Passion Water Venture (East Coast),Private,http://www.water-venture.org.sg,"Water-Venture is an integral part of the PA that bonds people and bridges the communities through adventure and water sports; We provide the residents, particularly the youth, with opportunities to come together, interact and take part in activities.",Recreational and Leisure,"Kayaking
Windsurifng
Sailing
Dragon Boating
Abseiling
Power Boating 
Sea Rafting",Depends,Depends,Senior Citizens," <$500

(Most expansive - $295 for seniors) ",Passion Water Venture (East Coast),"1390, East Coast Parkway, Pa Water-venture (east Coast), ",,Singapore 468961,"Operating Hours: 09:30 - 18:00
Payment Hours: 09:30 - 17:00",South East,PA_WVEASTCOAST@pa.gov.sg,"
64440409 (Tel) 
64427054 (Fax)"
305,Passion Water Venture (Jurong Lake ),Private,http://www.water-venture.org.sg,"Water-Venture is an integral part of the PA that bonds people and bridges the communities through adventure and water sports; We provide the residents, particularly the youth, with opportunities to come together, interact and take part in activities.",Recreational and Leisure,"Kayaking
Windsurifng
Sailing
Dragon Boating
Abseiling
Power Boating 
Sea Rafting",Depends,Depends,Senior Citizens," <$500

(Most expansive - $295 for seniors) ",Passion Water Venture (Jurong Lake),"1, Chinese Garden Road, ",,Singapore 208581,"Operating Hours: 09:30 - 18:00
Payment Hours: 09:30 - 17:00",South West,PA_WVJURONGLAKE@pa.gov.sg,"
6266 4648 (Tel)
6266 4703 (Fax)"
306,Passion Water Venture (Pasir Ris ),Private,http://www.water-venture.org.sg,"Water-Venture is an integral part of the PA that bonds people and bridges the communities through adventure and water sports; We provide the residents, particularly the youth, with opportunities to come together, interact and take part in activities.",Recreational and Leisure,"Kayaking
Windsurifng
Sailing
Dragon Boating
Abseiling
Power Boating 
Sea Rafting",Depends,Depends,Senior Citizens," <$500

(Most expansive - $295 for seniors) ",Passion Water Venture (Pasir Ris),"125, Elias Road, ",, Singapore 519926,"Operating Hours: 09:30 - 18:00
Payment Hours: 09:30 - 17:00",South East,PA_WVPASIRRIS@pa.gov.sg,"
65824796 (Tel)
65815781 (Fax)"
307,Passion Water Venture (Sembawang),Private,http://www.water-venture.org.sg,"Water-Venture is an integral part of the PA that bonds people and bridges the communities through adventure and water sports; We provide the residents, particularly the youth, with opportunities to come together, interact and take part in activities.",Recreational and Leisure,"Kayaking
Windsurifng
Sailing
Dragon Boating
Abseiling
Power Boating 
Sea Rafting",Depends,Depends,Senior Citizens," <$500

(Most expansive - $295 for seniors) ",Passion Water Venture (Sembawang),"57, Jalan Mempurong, ",,Singapore 759057,"Operating Hours: 09:30 - 18:00
Payment Hours: 09:30 - 17:00",North West,PA_WVSEMBAWANG@pa.gov.sg,67550225 (Tel)
308,Passion Water Venture (Lower selatar reseviour),Private,http://www.water-venture.org.sg,"Water-Venture is an integral part of the PA that bonds people and bridges the communities through adventure and water sports; We provide the residents, particularly the youth, with opportunities to come together, interact and take part in activities.",Recreational and Leisure,"Kayaking
Windsurifng
Sailing
Dragon Boating
Abseiling
Power Boating 
Sea Rafting",Depends,Depends,Senior Citizens," <$500

(Most expansive - $295 for seniors) ",Passion Water Venture (Lower selatar reseviour),"100, Yishun Avenue 1, Water-venture ( Lower Seletar Reservoir), ",,Singapore 769140,"Operating Hours: 09:30 - 18:00
Payment Hours: 09:30 - 17:00",North West,Not provided,"
9710 1826(Tel)
6348 1476 (Fax)"
309,Passion Water Venture (Changi),Private,http://www.water-venture.org.sg,"Water-Venture is an integral part of the PA that bonds people and bridges the communities through adventure and water sports; We provide the residents, particularly the youth, with opportunities to come together, interact and take part in activities.",Recreational and Leisure,"Kayaking
Windsurifng
Sailing
Dragon Boating
Abseiling
Power Boating 
Sea Rafting",Depends,Depends,Senior Citizens," <$500

(Most expansive - $295 for seniors) ",Passion Water Venture (Changi),"285, Nicoll Drive Changi Point, ",,Singapore 498988,"Operating Hours: 09:30 - 18:00
Payment Hours: 09:30 - 17:00",South East,PA_WVCHANGI@pa.gov.sg,"65451140 (Tel)
6545 8897 (Fax)"
310,Tirisula Yoga,Private,http://tirisulayoga.com/,"Tirisula means Trident in Sanskrit. The trident represent the 3 gunas (qualities) existing within us and nature. They are sattvic (pure), rajasic (activity oriented) and tamasic (dullness).  Transform through Tirisula Yoga to transcend these 3 qualities..",Learning and Enrichment,"Certified courses for yoga, pilates, meditation for personal or trainers",Depends,Depends,NA," >$1,000 ",Tirisula Yoga,80B Arab Street,,Singapore 199777,"Mon – Fri: 10am to 8pm
Sat: 10am to 4pm 
Sun & Public Holidays: By appt only
",Central, info@tirisulayoga.com,"6299 5181 / 8518 4900
"
