id,VendorName,NonProfitPrivate,WebsiteAddress,Description,Category,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
361,LHIB Workplace Safety and Health Training @ 239 Jalan Besar,Private,http://www.ntuclearninghub.com/,"NTUC LearningHub Private Limited was corporatised in 2004 with the mission to enhance the lifelong employability of Singapore’s workforce by providing high quality, innovative products and affordable learning. The training programmes provided by NTUC LearningHub comprise Infocomm Technology, Professional IT Certificates, Soft Skills & Literacy, Workplace Safety & Health, Employability Skills System, Customer Service Training, Trades, Cleaning, WSQ Security and Manufacturing Skills. To date, it has trained more than 1,000,000 executives and working adults, and has worked with more than 10,000 companies to identify training needs, define curriculum roadmaps and deliver contemporary training programmes. The organization has evolved to meet the burgeoning training needs of Singaporeans to continuously keep pace with the dynamic business economy.

Next U is the executive education arm of NTUC LearningHub – Singapore’s largest continuing education provider. With over 200 courses from 25 best-in-class global and local partners, covering topics spanning productivity, innovation, service excellence, infocomm technology, soft skills and advanced professional skills, Next U represents the Labour Movement’s commitment towards getting Singapore’s Professionals, Managers and Executives (PMEs) “Future-Ready”. Its progressive curriculum innovates new pathways in continuing education. Leveraging global best practices and andragogy, we help businesses and professionals realise their true potential through a wide range of cutting-edge professional development and consulting solutions offered in partnership with leading institutions like Disney Institute and Singapore Management University in areas identified as critical to Singapore’s economic success. 
 
Next U’s infocomm technology program suite includes a full range of certification courses from Apple, Microsoft, Cisco, IBM, Oracle, Autodesk, Cegos, PMI, SMU-SIS and SAP covering topics like network architecture, Cloud Computing, Business Analytics and Mobile Development to name a few. Next U is also the authorised test centre for CertiPort, Pearson and ProMetric.",Learning and Enrichment,"Professional & Personal Development courses on Accounting and Finance, Communication, Personal Effectiveness, Office IT Skills etc",Depends on courses,"Depends on courses;
Ranges from 16 hours to more",NA, <$750 ,LHIB Workplace Safety and Health Training @ 239 Jalan Besar,239 Jalan Besar,,Singapore 208912,"Monday to Friday: 8.30am – 6.00pm
Saturday, Sunday & Public Holidays: Closed",Central,enquiries@ntuclearninghub.com,6336 - LHUB (5482)
362,Perfect Image International Pte Ltd,Private,NA," 
Perfect International Beauty School (Perfect Image Beauty & Cosmetology Academy, referred PIBCA) was established in 2005, is an internationally recognized beauty institutions suffered, is a set of three of: modern, professional, regularization Beauty Academy; 7 years Since has trained numerous talents, perfect International Beauty School Beauty School as advanced training industry, the community has trained thousands of artistic beauty, image design, make-up, beauty senior management professionals, graduates throughout In major cities in Malaysia and China play an important role in the beauty business. Perfect International Beauty School Beauty practice of higher education for many years, has formed a unique teaching model ""Our achievements are recognized and recommended by many sectors of the beauty industry certification bodies, we have a highly qualified and experienced teachers force, we will always remain at the forefront of beauty education sector. 


We have extensive contacts with many of the beauty sector, continue to provide high-quality professional beautician for them. Graduates who can receive the Court's recognition of the beauty industry and welcomed many students did not graduate before being admitted to the employer. Court sessions so procure employment rate in more than 96%, many of the best students after graduation embarked on a road of entrepreneurship.

 
  
International Beauty School pursuit of professional perfection, the perfect quality of education and to foster moral integrity and ability to contribute to society to have any talent. Has first-class advanced equipment, energetic and experienced teacher. Ability and integrity to foster socially useful talent to have any, and won the British ASIC international institutions accredited schools, we will want as much as possible to help a group of new blood Chuang beauty and realize their entrepreneurial dreams!",Learning and Enrichment,"Certified courses on Beuty Therapy, Beauty Specialists, Makeup, Massage and Nail Art",Depends on courses,"Depends on courses, ranges from 5 months and more","- Possessed at least 6 years of Primary
Education Level 
- Mature candidates 16 years of age, and able to demonstrate proficiency in Mandarin language. 
- Otherwise, applicants should sit for PIBCA Entrance Evaluation Test to show proficiency in Chinese l", Not Provided ,Perfect Image International Pte Ltd,100A Eu Tong Sen Street,#02-01 Pearls Centre Office Podium,Singapore 059813,Not Provided,Central,sgpibca@gmail.com / enquiry@pibca.com ,"62385889 / 62237073 
9299 9322?/  9640 9323 / MsJULLY "
363,Petrofac Training (Chemical Process Technology Centre),Private,www.cptc.edu.sg,"Located in the heart of Jurong Island, Singapore, the Chemical Process 
Technology Centre (CPTC) provides Competence Based Training focusing on the 
skills development and assessment of operations and maintenance personnel 
for the oil, gas and petrochemical industries. 
 
CPTC provides: 
• New entrants to the oil, gas and petrochemical industries with a set of 
competencies by the provision of world class competence based training 
and assessment, this training is open to local Singaporean and overseas 
clients; 
• Opportunities for working professionals in the industry to upgrade and 
enhance their knowledge and skills with the latest industry technologies 
developments; 
• A strategic international training infrastructure aimed at developing 
specialist manpower to support the growth of the global oil, gas and 
petrochemical industries. 
 
CPTC is owned by the Singapore 
Economic Development Board (EDB) 
and managed by Petrofac Training 
Services, the training arm of the 
Petrofac Group. CPTC is also a fully 
accredited Continuing Education 
Training (CET) Centre by the 
Singapore Workforce Development 
Agency (WDA). 
 
CPTC is the first training centre in the world to contain an industry-scale 
petrochemical process plant. Designed to operate as an actual production unit 
in a typical commercial plant, the process unit will allow trainees to experience 
real plant operations to enhance their training experience under safe and 
controlled conditions.",Learning and Enrichment,WSQ courses in Process Technology (Chemical Production),depends on the number of people taking the course,"Depends on courses, ranges from 6 weeks to more","English proficiency level equivalent to the Employability Skills System (ESS) level 4 
• Numerical proficiency level equivalent to Employability Skills System (ESS) level 4 
• Successful completion of Physical Aptitude and Psychometric tests conducted at CPTC 
No maximum age"," >$1,000 ",Petrofac Training (Chemical Process Technology Centre),81 Jurong Island Highway,,Singapore 627837 ,Not Provided,South West,cptc.singapore@petrofactraining.com ,6880 2000/ 6880 2008/ 6880 2057
364,Project Dignity - Digniy Kitchen,Private,www.projectdignity.sg,"Since its inception in October 2010, Project Dignity Kitchen is Singapore’s first hawker training school that caters to senior citizen and retirees, disadvantaged like ex-prisoners and battered wives, structured unemployed, existing food court employees, and physical and mentally challenged. In this modern society, many times handicapped and elderly are facing greater challenge competing in job marketplace. We give job training and placement so that they can have hope for better future, better lives and better opportunities to be successful. We operate real food court allowing public to experience and interact with our students just like regular eating places.
This way we believe enhancing educational value inside-out from our students to public, as well as outside-in from public to get used to handicapped people servicing them.",Learning and Enrichment,"WSQ courses on Food & Beverage, Safety, Cooking skills etc

",Depends on courses,Depends on courses,NA, <$250 ,Project Dignity,Blk 267 Serangoon Ave 3 ,#02-02,Singapore 550267,"Monday – Friday
9.00 am to 5.00 pm",South East,"enquiry@projectdignity.sg;

wsq.training@projectdignity.sg",9853 9032
365,SAFRA Photographic Club,Private,http://www.safraphotoclub.com/js3/index.php/activities/highlights,"The SAFRA Photographic Club is one of the most active clubs in Singapore, with our works making their way to renowned museums such as the  UGO MULAS in Italy and the Singapore Art Museum. Our members have also amassed a string of local and regional photography awards!

The SAFRA Photographic Club holds a range of courses for all levels. For the aspiring professional, we conduct a series of seven hands-on studio photography course on Thursday evenings and for the novice, we have a two-day introductory course conducted over one weekend.

As one of the five largest photography clubs in Singapore, our facilities are well-equipped with the latest hardware and software in our digital darkroom for our shutterbugs.

For more information, explore our website",Recreational and Leisure,"Courses on photography, outdoor photography related activities ",Weekly,"Depends on courses, ranges from 2.5 hours to more",NA, <$250 ,c/o SAFRA Mount Faber ,"2 Telok Blangah Way 
",,Singapore 098803 ,Not Provided,Central,Not Provided,6377 3677
366,Science Arts TCM College,Private,http://www.sciencearts.com/main/en/tcm-college,"Science Arts Co. Pte Ltd is a local TCM company with 40 years of history. While manufacturing and managing Chinese proprietary medicine, it also provides TCM medical and healthcare services. Hence, it is a multi-faceted enterprise that is able to integrate both medication and clinical treatment to offer a seamless service. At the same time, Science Arts strongly believes that TCM is beneficial to everyone in the society, regardless of their ethnic and cultural background. For a long time, Science Arts has regarded the fostering of TCM culture and the promotion of public health as its aspiration.

Through the development of TCM in Singapore, the founders of Science Arts realise that TCM is a trusted medical science for the Chinese community in Singapore in the treatment of illnesses and the maintenance of health. With the rapid economic development in Singapore, TCM has great developmental potential. Since the 1990s, the value of TCM in healthcare has been widely recognised. In order to protect the safety and interests of the citizens, the Government has passed legislative regulatory measures for TCM, thereby enhancing the quality of TCM, making TCM one of the trusted medical treatment options for the public. With this development, TCM practitioners now bear greater social responsibilities and obligations. In order to safeguard public interests and maintain a competitive edge in the industry, practitioners have to constantly upgrade their specialised knowledge and refine their clinical skills so as to keep up with the times, to enable them to provide better and more professional services to the general public, alleviating their pains and illness while enhancing their health.

From years of accumulated experience, the management of Science Arts believes that in order for TCM to achieve sustainable development and to better serve the community, there is a need to enhance the confidence of the general public in TCM. Through further education provided outside of formal TCM training, the TCM industry is able to enhance the treatment efficacy of TCM; on the other hand, by educating the general public, it enables them to have the proper knowledge and understanding of TCM medical and healthcare services. Over the past few years, Science Arts has been committed to the active propagation of TCM culture through different channels, spreading it in various forms.

Since the early 1990s, Science Arts has conducted several hundreds of TCM healthcare talks. Through these selfless exchanges between TCM specialists and the general public, accurate and scientific concepts and knowledge of TCM treatments and healthcare were transmitted to the public thereby fundamentally enhancing public health awareness and increasing the correct scientific understanding of TCM healthcare applications. The talks were highly popular and Science Arts will continue to hold such talks to share new TCM knowledge with the general public.

In recent years, TCM has developed rapidly in Singapore, with a significant increase in the number of local and overseas TCM college graduates practicing in Singapore. In order to let professional TCM physicians further their education, keep up with new developments and enhance their professional standards, Science Arts has conducted over 15 professional TCM training courses in the last 5 years. Highly experienced specialists and professors were engaged as lecturers for the courses which have seen over 400 participants attending. The courses conducted included “Preparation Workshop for TCM Physicians Registration Exam”, “TCM Bone Injury Massage (Tui-na) Techniques”, “Bone Therapy and Manipulation Techniques”, “Bone Therapy Massage Techniques”, ” Essential Nutrients for the Human Body – Dietary Planning and Supplements”, “X-ray Diagnosis and Application of Massage (Tui-na) Techniques for Bone Injuries & Illnesses” and “Family Massage (Tui-na) Techniques” etc. These courses were very well received and have also attracted the participation of many TCM enthusiasts.

At the same time, Science Art is actively encouraging the younger generation to get to know and understand TCM culture and its 5000 years of history by letting them come into actual contact with it, so as to pass on TCM knowledge and culture through the generations. In 2006, the Company hosted a “TCM Cultural Camp” initiated by the Singapore Ministry of Education. Nearly a hundred students and teachers from Raffles Junior College, Raffles Girls School, Dunman High School, Anglo-Chinese School (Independent), Nanyang Girls’ High School and Hwa Chong Institution participated in this event. Through this event, they learnt basic TCM knowledge such as Chinese herbs, acupuncture, massage therapy and TCM dietary therapy etc. As the event was very well received by the students, who displayed a deep interest in TCM culture, Science Arts decided to continue such educational activities to provide the younger generation with opportunities to learn the invaluable knowledge of TCM.

In addition, Science Arts has also collaborated with other organisations in order to promote TCM culture extensively. In July this year, our joint venture company Beijing Tong Ren Tang Science Arts (Singapore) Co. Pte Ltd signed a memorandum with the Confucius Institute at NTU to propagate Chinese and TCM culture through the promotion of the Chinese language and culture, sharing of resources and the complementing of the synergistic strengths of both parties, so as to contribute to the well-being of the general public. The TCM healthcare talk series are jointly conducted with various parties and TCM professors and specialists are regularly engaged to explain to the general public the basic concepts of TCM healthcare and how to achieve healthcare goals through TCM.

In the years that Science Arts has promoted TCM culture, it has accumulated invaluable experiences in the research and development of drugs and in the field of medical and healthcare services. It has also brought together a number of veteran TCM professors and specialists. With such development background and foundation, Science Arts hopes to expand the areas and contents of training it provides through more systematic methods, structural planning and by consolidating its manpower and resources. Hence, Science Arts has been actively undertaking preparatory work from 2006, hoping to establish a training centre that can popularise TCM culture, improve the professional standards of TCM physicians and pass on TCM culture.

After a long period of preparation, the Science Arts TCM College located at the Science Arts headquarters is finally established and will assume the important task of propagating TCM culture. The College hopes to promote and popularise TCM culture at all levels of the Singapore society and ethnic groups by actively offering a wide range of further specialists training and outreach programs. The College is also committed to the cultivation of interest and enthusiasm among the younger generation in TCM.",Learning and enrichment,Health talks,Monthly,Depends (e.g.2-6pm),No maximum age, Depends ,Science Arts TCM College,150 Macpherson Road,Science Arts Building,Singapore 348525,"Monday to Sunday: 10AM – 6PM Extended Hours on Tuesday, Thursday and Saturday: 6PM – 8PM (Close on Public Holiday)",South East,call@tasa.sg,6744 8004 (Science Arts TCM College)
367,SEED Institute,Private,www.seedinstitute.com.sg,"SEED Institute was formerly known as the Regional Training and Resource Centre in Early Childhood Care and Education for Asia (RTRC Asia). It was set up in 1989 by the NTUC, in collaboration with the Bernard van Leer Foundation, a Dutch private philanthropic foundation that funds and shares knowledge about work in early childhood development.
 
Since our inception, SEED Institute has been working to enhance the quality of care and education of young children by training and supporting early childhood professionals. It is recognized as the pioneer in early childhood education training in Singapore.
 
Today, we continue to lead the ECE field by offering comprehensive training and continuing education of the highest quality.  The following programmes, accreditations and partnerships further reaffirms the Institute’s leadership position as an early childhood training institute: 
 
Full range of certificate and diploma programmes accredited by the Pre-school Qualification Accreditation Committee (MOE-MSF PQAC)
Appointed by Singapore Workforce Development Agency as Singapore's first private Continuing Education and Training Centre (CET) for the early childhood sector.
Partnership with top foreign universities such as Wheelock College, USA and the University of South Australia for Bachelor and Masters programmes.
First full-time diploma and degree programmes in early childhood in collaboration with Ngee Ann Polytechnic.
Partnership with UNICEF and PLAN International, conducting customized training programmes for early childhood educators from the ASEAN and Asia Pacific regions through the Singapore Co-operation Plan (SCP) of the Ministry of Foreign Affairs.
Appointed host of the first Secretariat base for the Asia-Pacific Regional Network for Early Childhood (ARNEC) in May 2009, based on our “strong dedication to capacity development in the care and education of young children”.",Learning and Enrichment,"Continuing Professional Development:
Courses relating to Early Childhood Care & Education (WSQ & Non- WSQ)",Depends on courses,"Depends on courses, ranges from 3 hours to more",NA, <$500 ,SEED Institute,73 Bras Basah Road,"#07-01
NTUC Trade Union House",Singapore 189555,"Monday to Friday : 9am to 8pm
Saturday : 10am to 2.30pm",Central,info@seedinstitute.edu.sg ,6332 0668 / 6334 6005
368,SHATEC,Private,http://www.shatec.sg/,"SHATEC was set up in 1983 by the Singapore Hotel Association to equip Singapore’s hospitality industry with a skilled workforce. Since then, SHATEC has made its mark as a premium hospitality school with many of its 30,000 strong alumni from more than 20 countries helming key positions in the hospitality and tourism industry. For this, SHATEC received the prestigious “Most Outstanding Contribution to Tourism” award from the Singapore Tourism Board in 1992. SHATEC is the first institution to have been inducted into the World Gourmet Summit Hall of Fame in 2009 for winning the Culinary Institution of the Year award for 4 consecutive years (2001 to 2004). In addition to being a school for full-time students, SHATEC has been appointed by the Singapore Workforce Development Agency to be a CET Centre for Tourism and F&B industries.",Learning and Enrichment,"Continuing Education & Training:
Courses on Food & Beverage, Rooms, Communication & Language, Service Skills and Lifestyle Series",Depends on courses,Depends on courses; ranges from 2.5 hours to more,Depends on courses, <$500 ,SHATEC,21 Bukit Batok St 22,,Singapore 659589,"Mondays to Thursdays: 8.30am to 6.00pm
Fridays: 8.30am to 5.30pm
Closed on Saturdays, Sundays, and Public Holidays",South West,ptcourses@shatec.sg,6415 3588
369,Sicta Beauty School Pte Ltd,Private,www.sictabeautyschool.com.sg,"At SICTA BEAUTY SCHOOL, we are committed to provide quality training and delicate teaching for our students satisfaction, without compromising honesty and sincerity.
All teachers in SICTA BEAUTY SCHOOL are carefully handpicked and with their many years of experience and professional qualification, our students will be able to absorb the knowledge in diverse field of practice. Our perseverance of quality and professional education had won us recognition from renowned internationally, ITEC (UK) as their approved training provider and examination centre.",Learning and Enrichment,"Certified courses in Beauty Specialists, Holistic Massage, Nail Technology, Hairdressing and Reflexology",Depends on courses,"Depends on courses, ranges from 175 hours to more","Course participants should at least be 16 years of age and must possess the following requirements as follows:

·GCE N Levels, Certificate Level or their Equivalent 
AND
·Singaporean or PR/ Work Permit / Student Pass / Long Term Visit Pass / Passport Holder. No age limit"," >$1,000 ",Sicta Beauty School Pte Ltd,Block 1 Rochor Road,#03-574 Rochor Centre,Singapore 180001,Not Provided,Central,sictabeautyschool@hotmail.com,6533 3588
370,Singapore Institute of Manufacturing Technology,Private,www.simtech.a-star.edu.sg/,"
SIMTech’s Knowledge Transfer Office (KTO) has been established to provide unique technology and case study-based training for manufacturing specialists, engineers, managers, as well as other industry professionals and executives. All our training courses, conducted in close collaboration with the Singapore Workforce Development Agency (WDA), draw extensively on our in-house cutting-edge manufacturing knowledge, established through years of industrial collaborations, industry experience and research, backed by state-of-the art manufacturing facilities. In recognition of our outstanding contribution to the development and expansion of the Singapore’s Workforce Skills Qualifications (WSQ) system, the WDA has awarded SIMTech with the WSQ Distinguished Partner Accolade.

",Learning and Enrichment,"Certified courses on Precision Engineering - e.g. Manufacturing Operations, Operations Management etc","Depends on courses, on average weekly schedule","Depends on course modules, ranges from 5 weeks to more",Dependent on module. No age limit," >$1,000 ","The Knowledge Transfer Office
Singapore Institute of Manufacturing Technology",71 Nanyang Drive,,Singapore 638075,Not Provided,South West,kto-enquiry@simtech.a-star.edu.sg,6793 8383
