id,VendorName,NonProfitPrivate,WebsiteAddress,Description,Category,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
541,St Lukes Eldercare (Jurong East Centre),Non-profit,http://slec.org.sg/,"With an increasingly aging population, there is a growing need in Singapore for quality programmes to help seniors live an active and engaged life. Hence, St Luke’s ElderCare Ltd was formed to provide a suite of day programmes for the seniors. St Luke’s ElderCare Ltd provides its services via its network of 11 centres.",Volunteering Opportunities," Be a helper at our outings
• Share your professional expertise at our talks
• Be a volunteer programme assistant at any of our Centres",Depends on the individual,Depends on the indivual,NA,$0 ,St Lukes Eldercare (Jurong East Centre),Blk 327 Jurong East St 31,#01-174,Singapore 600327,Not Provided,South West,jurongeast@slec.org.sg,6569 0415
542,St Lukes Eldercare (Yishun Centre),Non-profit,http://slec.org.sg/,"With an increasingly aging population, there is a growing need in Singapore for quality programmes to help seniors live an active and engaged life. Hence, St Luke’s ElderCare Ltd was formed to provide a suite of day programmes for the seniors. St Luke’s ElderCare Ltd provides its services via its network of 11 centres.",Volunteering Opportunities," Be a helper at our outings
• Share your professional expertise at our talks
• Be a volunteer programme assistant at any of our Centres",Depends on the individual,Depends on the indivual,NA,$0 ,St Lukes Eldercare (Yishun Centre),Blk 740 Yishun Avenue 5,#01-490,Singapore 760740,Not Provided,North West,yishun@slec.org.sg,67599053
543,Ageless Theatre,No website,https://www.facebook.com/pages/Ageless-Theatre/403731252975806,"Ageless Theatre having workshop at the Marine Parade CC every tuesday.
Our maiden production stipluated in July 6 7 & 8. There will be 4 shows, two
matinees and two evening shows",Recreational and Leisure,Members or new member could join productions which depends on events.,"Workshop,Marine Parade CC weekly. Productions frequency Depends.e.g. oreintation programme 2hr 8 session","oreintation programme 2hr 8 session. Workshop weekly, productions depends.","No maximum age, for productions, only members may join,or non member could view the event to see if they're interested.", <$250 ,Ageless Theatre,Lorong Chuan,Chuan Park,Singapore 556747,Not Provided,South East,agelesstheatres@gmail.com,98512510
544,Agency for integrated care,Private Sector,http://www.aic.sg/,Agency for Integrated Care (AIC) was formed as an independent corporate entity under MOH Holdings (MOHH) in 2009 to look into the enhancement and integration of Long-Term Care sector.,Personal Health Care Services,"Advance Care Planning, Aged Care TransitION project, Caregivers Training Grant
(Please enquire)",Depends on programme,Depends on programme,not Provided, NA ,Agency for integrated care,No. 5 Maxwell Road,"#10-00 Tower Block,  
MND Complex",Singapore 069110,Not Provided,Central,enquiries@aic.sg,6603 6800
545,Brahm Centre,Non-profit,http://www.brahmcentre.com/,"Brahm Centre is a Voluntary Welfare Organisation (VWO), a registered charity (No: 200200167M) with Institution of Public Character (IPC) status and a member of National Council of Social Services (NCSS). The Centre is dedicated to offering education programs and activities that promote happy and healthy living.  Our regular programs and services are offered free-of-charge so that they are accessible to all.",Learning and Enrichment,"Living well and dying well talk, Mid life crisis seminar(past events)
(Events are located at different locations)
",Depends on programme,"Depends on programmes, may ranged from 3.5 hours to more",NA,$0 ,Brahm Centre,71 Irrawaddy Road,"#02-06
Ren Ci Hospital",Singapore 329562,"Tuesday to Friday: 930am to 800pm
Saturday: 930am to 6pm 
Monday & Sunday: Closed",Central,info@brahmcentre.com,6258 0831
546,"Singapore Federation of Chinese Clans association
",Non-profit,http://www.sfcca.sg/,"SFCCA was established in January 27, 1986, by the Fujian Hall, Teochew Poit Hall, Canton Center, Nanyang Hakka Association, Hainan Association, Three Rivers Center and Fuzhou Hall co-sponsored. Its main objectives are: to strengthen the close cooperation???Township Hall, sponsored or related activities in education, culture, social and other assistance to improve the public in China ethnic language, culture and traditional knowledge.

",Volunteering Opportunities,Walk in the Garden,Depends on programme,3-4 hours,NA,$0 ,"Singapore Federation of Chinese Clans association
",397 Lorong 2 Toa Payoh,,Singapore 319639,Not Provided,Central,admin@sfcca.sg,63544078
547,"Singapore Federation of Chinese Clans association
",Non-profit,http://www.sfcca.sg/,"SFCCA was established in January 27, 1986, by the Fujian Hall, Teochew Poit Hall, Canton Center, Nanyang Hakka Association, Hainan Association, Three Rivers Center and Fuzhou Hall co-sponsored. Its main objectives are: to strengthen the close cooperation???Township Hall, sponsored or related activities in education, culture, social and other assistance to improve the public in China ethnic language, culture and traditional knowledge.

",Recreational and Leisure,"Programme/events available that open to the public.(e.g. the next activity is called my clan,my music,children folk songs)",Depends on programme,Depends on programmes,NA,$0 ,"Singapore Federation of Chinese Clans association
",397 Lorong 2 Toa Payoh,,Singapore 319639,Not Provided,Central,admin@sfcca.sg,63544078
548,Chinese Development Assistance Council (Yishun),Non-profit,http://www.cdac.org.sg/cos/o.x?c=/cdac_corp/section,Chinese Development Assistance Council (CDAC) was jointly set up on 22 May 1992 by Singapore Federation of Chinese Clan Associations (SFCCA) and Singapore Chinese Chamber of Commerce and Industry(SCCCI). CDAC was formally incorporated under the Companies Act and later granted the status of an Institution of Public Character by the Government.,Volunteering Opportunities,"Ad hoc activity planning, tutoring(p4-p6), reading (5-8 years of age)",Ad hoc,"Tutoring:3hrs, Reading:1hr","for tutoring, 17-35 years of age",$0 ,Chinese Development Assistance Council (Yishun),Blk 145 Yishun St 11  ,#01-41 ,Singapore 760145 ,"Mon-Fri: 1pm to 10pm
Sat/Sun: 10am to 5pm
Closed on eve of New Year's Day , Chinese New Year , Christmas and Public Holidays",North West,feedback@cdac.org.sg,6752 7760
549,Chinese Development Assistance Council (Ang Mo Kio),Non-profit,http://www.cdac.org.sg/cos/o.x?c=/cdac_corp/section,Chinese Development Assistance Council (CDAC) was jointly set up on 22 May 1992 by Singapore Federation of Chinese Clan Associations (SFCCA) and Singapore Chinese Chamber of Commerce and Industry(SCCCI). CDAC was formally incorporated under the Companies Act and later granted the status of an Institution of Public Character by the Government.,Volunteering Opportunities,"Ad hoc activity planning, tutoring(p4-p6), reading (5-8 years of age)",Ad hoc,"Tutoring:3hrs, Reading:1hr","for tutoring, 17-35 years of age",$0 ,Chinese Development Assistance Council (Ang Mo Kio),201 Ang Mo Kio Ave 3 ,#01-1648,Singapore 560201 ,"Mon-Fri: 1pm to 10pm
Sat/Sun: 10am to 5pm
Closed on eve of New Year's Day , Chinese New Year , Christmas and Public Holidays",Central,feedback@cdac.org.sg,6456 454
550,Chinese Development Assistance Council (Jurong),Non-profit,http://www.cdac.org.sg/cos/o.x?c=/cdac_corp/section,Chinese Development Assistance Council (CDAC) was jointly set up on 22 May 1992 by Singapore Federation of Chinese Clan Associations (SFCCA) and Singapore Chinese Chamber of Commerce and Industry(SCCCI). CDAC was formally incorporated under the Companies Act and later granted the status of an Institution of Public Character by the Government.,Volunteering Opportunities,"Ad hoc activity planning, tutoring(p4-p6), reading (5-8 years of age)",Ad hoc,"Tutoring:3hrs, Reading:1hr","for tutoring, 17-35 years of age",$0 ,Chinese Development Assistance Council (Jurong),"Blk 421 Jurong West St 42   
",#01-1045 ,Singapore 640421 ,"Mon-Fri: 1pm to 10pm
Sat/Sun: 10am to 5pm
Closed on eve of New Year's Day , Chinese New Year , Christmas and Public Holidays",South West,feedback@cdac.org.sg,66035575
