id,VendorName,NonProfitPrivate,WebsiteAddress,Description,Category,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
481,"TAS Theatre Company Singapore Limited
",Non-Profit ,http://www.tas.com.sg/,"TAS Theatre is a non-profit company, housed under the NAC Arts Housing Scheme with charity status. It was founded in 1993 by a group of talented and experienced artists Mr. Lee Ngoh Wah, Mr. Chong Kah Hoo and Mdm Goh Siew Geok. Since its establishment, TAS hopes to promote the appreciation of arts to our younger generation and to cultivate our local artist talents.

TAS Theatre collaborated with overseas professional performing groups, such as Wei Xin Band of Beijing University, North America Elite Youth Orchestra, and Chinese Opera Academy of Beijing to hold recital and performances in Singapore.

Interested organisations, please email 50plus@nlb.gov.sg for more information on these visits.",Recreational and Leisure,"Courses such as Old Folks Chorus Class, Chinese Opera Class, Creative Percussion Class, Pottery Flute class, Choir - Voice Training, Choir -Stage performances class",Weekly,"Depends on courses, ranges from 1 hour per session",NA,<$100,"TAS Theatre Company Singapore Limited
","12A-C, Trengganu Street 
",,Singapore 058466,Not Provided,Central,tas1845@hotmail.com,"63243689 /
9666 6751 "
482,The Glowers Drama Group,Non-Profit ,http://theglowers.com/,"The Glowers Drama Group is a drama company that conducts on drama-related activities that cater for the seniors and producing performances by the seniors for organisations.
 
Established in 2003 under DramaPlus Arts, The Glowers was formed with the aim of engaging the seniors, especially the retired, through the fun of drama. In January 2008, The Glowers became the voluntary drama wing of the Centre For Seniors.
 
Over the years, The Glowers has grown steadily, and it has been called by many agencies to stage shows about the seniors by the seniors for the seniors.
 
In mid-2008, The Glowers Drama Group became an independent drama company led by theatre-television veteran, Catherine Sng. Now the group comprises a group of dynamic seniors. While the primary mission of serving and engaging the seniors remains, the company offers more. Our activities and shows may be conducted or presented in English, Mandarin and Chinese dialects. As of December 2008, the company has about 50 members, aged between 50 and 85.
 
The Glowers Drama Group continues to reach out to more seniors in Singapore and provide them with an avenue to enjoy a period of glowing golden years. This is a wonderful platform for the seniors to stay mentally and physically active, showcase their talents, make more friends and expand their social network.",Recreational and Leisure,Conducts on drama-related activities that cater for the seniors and producing performances by the seniors for organisations.,Ad hoc,2 hours -drama performnce,NA,$,The Glowers Drama Group,385 Beach Road,Kampong Glam Community Club,Singapore 199581,Not Provided,Central,hello@theglowers.com,6295 0741
483,The Singapore Association of Continuing Education,Non-Profit ,http://www.sace.org.sg/page2.php,The Singapore Association for Continuing Education (SACE) was established in 1979. It was registered as a charity in 1989. SACE defines continuing education as any learning activity beyond the formal school system that is aimed at meeting the learning needs of youths and adults. Ordinary membership of SACE is open to citizens and permanent residents of Singapore who are interested in continuing education. Others may join as Associate members. ,Learning and Enrichment,"Stress management courses, financial planning for retirement, diet planning and implementation",Once a Week,3.5 hours,NA,<$750,The Singapore Association of Continuing Education,10 Anson Road,International Plaza #10-11,Singapore 079903,Not Provided,Central,registration@sace.org,6582 2280
484,Women's Initiative for Ageing Successfully (WINGS),Non-Profit ,http://wings.sg/,"We exist to help our women members grow as individuals through the three pillars of good health, financial stability and happiness. The learning is based on three tiers of learning, beginning with acquiring knowledge, then gaining skills and applying them, and then, in the long-term, undergo behavioural change to be more active in society.

We believe that women are natural caregivers – whether they currently are or will be – and they have three circles of influence – firstly with themselves as individuals, and to their immediate circle of close friends and families, with women in WINGS, and then the wider circle of social contacts and communities.

On a monthly basis, WINGS runs more than 100 activities from exercises, talks and workshops, short term training programmes to support and interest group and recreational activities. We also offer legal counseling.

",Recreational and Leisure,"Programmes (pilate, yoga, zumba) and events available","once a week(courses)
Events(depends)",Depends on programmes,"40 years and above in age, must be member",$0 ,Women's Initiative for Ageing Successfully (WINGS),9 Bishan Place," #05-01
Junction 8 Office Tower",Singapore 579837 ,Not Provided,Central,info@wings.sg,6250 1012
485,"HCA Hospice Care (Headquarters)
",Non-Profit ,http://hca.org.sg/,"HCA Hospice Care (HCA) is a registered charity in Singapore providing comfort and support to patients with life-limiting illnesses, regardless of age, religion, ethnicity, nationality and financial status.

Our focus lies in home hospice care, where dedicated multidisciplinary teams, comprising doctors, nurses, social workers, counsellors and trained volunteers, visit patients and their families in their own homes. This service is provided free of charge.

More than 49,000 patients have benefited from HCA Hospice Care’s services since its establishment in 1989. We are the largest home hospice provider in Singapore, and our specialized teams are on the call round-the-clock, paying over 40,000 home visits a year and serving an average of 3,500 patients annually. We have between 800-850 patients under our care at any point of time.",Volunteering Opportunities,"To assist in:
1.Befrienders 

2.Housekeepers 

3.Hairdressers

4.patients keep medical appointments  by helping patients move from their homes to medical facilities for treatment and follow-up appointments.

5.Van assistants 

6.Therapy and Activity Assistants 

7.Event organisers help facilitate events 

8.Administrative volunteers help our staff with general administrative tasks 

9.Volunteers with special skills
",Depends on schedules,Depends on schedules,NA,$0 ,"HCA Hospice Care (Headquarters)
",12 Jalan Tan Tock Seng,,Singapore 308437,"Opening Hours
Monday-Friday from 8:30am to 5:30pm
Closed on Saturdays and Sundays

",Central,volunteer@hcahospicecare.org.sg,6251 2561
486,"HCA Hospice Care
(Loving Heart (Jurong) Centre)
",Non-Profit ,http://hca.org.sg/,"HCA Hospice Care (HCA) is a registered charity in Singapore providing comfort and support to patients with life-limiting illnesses, regardless of age, religion, ethnicity, nationality and financial status.

Our focus lies in home hospice care, where dedicated multidisciplinary teams, comprising doctors, nurses, social workers, counsellors and trained volunteers, visit patients and their families in their own homes. This service is provided free of charge.

More than 49,000 patients have benefited from HCA Hospice Care’s services since its establishment in 1989. We are the largest home hospice provider in Singapore, and our specialized teams are on the call round-the-clock, paying over 40,000 home visits a year and serving an average of 3,500 patients annually. We have between 800-850 patients under our care at any point of time.",Volunteering Opportunities,"To assist in:
1.Befrienders 

2.Housekeepers 

3.Hairdressers

4.patients keep medical appointments  by helping patients move from their homes to medical facilities for treatment and follow-up appointments.

5.Van assistants 

6.Therapy and Activity Assistants 

7.Event organisers help facilitate events 

8.Administrative volunteers help our staff with general administrative tasks 

9.Volunteers with special skills
",Depends,Depends,NA,NA,"HCA Hospice Care
(Loving Heart (Jurong) Centre)
","Blk 316, Jurong East St 32","#01-279
","Singapore 600316

",Not Provided,South West,volunteer@hcahospicecare.org.sg,Not Provided
487,"HCA Hospice Care
(Ci Yuan Hougang Centre)
",Non-Profit ,http://hca.org.sg/,"HCA Hospice Care (HCA) is a registered charity in Singapore providing comfort and support to patients with life-limiting illnesses, regardless of age, religion, ethnicity, nationality and financial status.

Our focus lies in home hospice care, where dedicated multidisciplinary teams, comprising doctors, nurses, social workers, counsellors and trained volunteers, visit patients and their families in their own homes. This service is provided free of charge.

More than 49,000 patients have benefited from HCA Hospice Care’s services since its establishment in 1989. We are the largest home hospice provider in Singapore, and our specialized teams are on the call round-the-clock, paying over 40,000 home visits a year and serving an average of 3,500 patients annually. We have between 800-850 patients under our care at any point of time.",Volunteering Opportunities,"To assist in:
1.Befrienders 

2.Housekeepers 

3.Hairdressers

4.patients keep medical appointments  by helping patients move from their homes to medical facilities for treatment and follow-up appointments.

5.Van assistants 

6.Therapy and Activity Assistants 

7.Event organisers help facilitate events 

8.Administrative volunteers help our staff with general administrative tasks 

9.Volunteers with special skills
",Depends,Depends,NA,NA,"HCA Hospice Care
(Ci Yuan Hougang Centre)
","Blk 662, Hougang Ave 4,","#01-411
","Singapore 530662

",Not Provided,North East,volunteer@hcahospicecare.org.sg,Not Provided
488,"HCA Hospice Care
(Bedok Centre)
",Non-Profit ,http://hca.org.sg/,"HCA Hospice Care (HCA) is a registered charity in Singapore providing comfort and support to patients with life-limiting illnesses, regardless of age, religion, ethnicity, nationality and financial status.

Our focus lies in home hospice care, where dedicated multidisciplinary teams, comprising doctors, nurses, social workers, counsellors and trained volunteers, visit patients and their families in their own homes. This service is provided free of charge.

More than 49,000 patients have benefited from HCA Hospice Care’s services since its establishment in 1989. We are the largest home hospice provider in Singapore, and our specialized teams are on the call round-the-clock, paying over 40,000 home visits a year and serving an average of 3,500 patients annually. We have between 800-850 patients under our care at any point of time.",Volunteering Opportunities,"To assist in:
1.Befrienders 

2.Housekeepers 

3.Hairdressers

4.patients keep medical appointments  by helping patients move from their homes to medical facilities for treatment and follow-up appointments.

5.Van assistants 

6.Therapy and Activity Assistants 

7.Event organisers help facilitate events 

8.Administrative volunteers help our staff with general administrative tasks 

9.Volunteers with special skills
",Depends,Depends,NA,NA,"HCA Hospice Care
(Bedok Centre)
","Blk 23, Bedok South Avenue 1","#01-759
","Singapore 460023

",Not Provided,South East,volunteer@hcahospicecare.org.sg,Not Provided
489,"HCA Hospice Care
(Woodlands Centre)
",Non-Profit ,http://hca.org.sg/,"HCA Hospice Care (HCA) is a registered charity in Singapore providing comfort and support to patients with life-limiting illnesses, regardless of age, religion, ethnicity, nationality and financial status.

Our focus lies in home hospice care, where dedicated multidisciplinary teams, comprising doctors, nurses, social workers, counsellors and trained volunteers, visit patients and their families in their own homes. This service is provided free of charge.

More than 49,000 patients have benefited from HCA Hospice Care’s services since its establishment in 1989. We are the largest home hospice provider in Singapore, and our specialized teams are on the call round-the-clock, paying over 40,000 home visits a year and serving an average of 3,500 patients annually. We have between 800-850 patients under our care at any point of time.",Volunteering Opportunities,"To assist in:
1.Befrienders 

2.Housekeepers 

3.Hairdressers

4.patients keep medical appointments  by helping patients move from their homes to medical facilities for treatment and follow-up appointments.

5.Van assistants 

6.Therapy and Activity Assistants 

7.Event organisers help facilitate events 

8.Administrative volunteers help our staff with general administrative tasks 

9.Volunteers with special skills
",Depends,Depends,NA,NA,"HCA Hospice Care
(Woodlands Centre)
","Blk 672, Woodlands Drive 71"," #01-77
","Singapore 730672

",Not Provided,North West,Not Provided,Not Provided
490,"HCA Hospice Care
(Kang Le Day Care Centre)
",Non-Profit ,http://hca.org.sg/,"HCA Hospice Care (HCA) is a registered charity in Singapore providing comfort and support to patients with life-limiting illnesses, regardless of age, religion, ethnicity, nationality and financial status.

Our focus lies in home hospice care, where dedicated multidisciplinary teams, comprising doctors, nurses, social workers, counsellors and trained volunteers, visit patients and their families in their own homes. This service is provided free of charge.

More than 49,000 patients have benefited from HCA Hospice Care’s services since its establishment in 1989. We are the largest home hospice provider in Singapore, and our specialized teams are on the call round-the-clock, paying over 40,000 home visits a year and serving an average of 3,500 patients annually. We have between 800-850 patients under our care at any point of time.",Volunteering Opportunities,"To assist in:
1.Befrienders 

2.Housekeepers 

3.Hairdressers

4.patients keep medical appointments  by helping patients move from their homes to medical facilities for treatment and follow-up appointments.

5.Van assistants 

6.Therapy and Activity Assistants 

7.Event organisers help facilitate events 

8.Administrative volunteers help our staff with general administrative tasks 

9.Volunteers with special skills
",Depends,Depends,NA,NA,"HCA Hospice Care
(Kang Le Day Care Centre)
","Blk 2, Marsiling Drive"," #01-21
","Singapore 730002

",Not Provided,North West,volunteer@hcahospicecare.org.sg,Not Provided
491,Animal Concerns Research (ACRES),Non-Profit ,http://www.acres.org.sg/,"ACRES was founded in 2001 by a group of Singaporeans and registered as a society on the 24th of May 2001(Registration No.: 0176/2001). ACRES is registered under the Charities Act and registered as an Institution of Public Character(Registration No.: IPC000559).

ACRES is an animal protection organisation, driven by our concern for animals. We adopt research projects on the use of animals in various fields. Research findings are then used to educate the public to promote active community involvement in the animal protection movement, as well as strive towards synergistic partnerships with authorities and related parties.

We strongly believe in promoting community involvement in addressing animal protection issues and in building partnerships with all related bodies to improve animal welfare.

",Volunteering Opportunities,"To assist in:
-Wildlife Guardians Programme
- Wildlife Rescue Team

Offsite/Events-based:

- Roadshows
- Others/project-based


",Depends,Depends,"Interested volunteers are required to attend a respective training programme. Primarily at least 16 years and older

Programmes subjected to course fees",$0 ,Animal Concerns Research (ACRES),91 Jalan Lekar,,Singapore 698917," Mondays to Sundays:9.30am to 5.00pm 
",South West,info@acres.org.sg,6892 9821
